State,Refiner,Location,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Calendar_Day_Operating,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Calendar_Day_Idle,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Stream_Day_Operating,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Stream_Day_Idle,Downstream_Charge_Capacity_Vacuum_Distillation,Downstream_Charge_Capacity_Thermal_Cracking_Delayed_Coking,Downstream_Charge_Capacity_Thermal_Cracking_Fluid_Coking,Downstream_Charge_Capacity_Thermal_Cracking_Visbreaking,Downstream_Charge_Capacity_Other_Gas_Oil,Catalytic_Cracking_Charge_Capacity_Fresh_Feed,Catalytic_Cracking_Charge_Capacity_Recycled_Feed,Catalytic_Cracking_Charge_Capacity_Distillate,Catalytic_Cracking_Charge_Capacity_Gas_Oil,Catalytic_Cracking_Charge_Capacity_Residual,Hydrocracking_Charge_Capacity_Low_Pressure,Hydrocracking_Charge_Capacity_High_Pressure,Fuels_Solvent_Deasphalting_Capacity,Desulfurization_Capacity_Naphtha_Reformer_Feed,Desulfurization_Capacity_Gasoline,Desulfurization_Capacity_Kerosene_Jet_Fuel,Desulfurization_Capacity_Diesel_Fuel,Desulfurization_Capacity_Other_Distillate,Desulfurization_Capacity_Residual,Desulfurization_Capacity_Heavy_Gas_Oil,Desulfurization_Capacity_Other
Utah,HF Sinclair Woods Cross Refining LLC,Woods Cross,39330,0,41400,0,0,0,0,0,0,18200,0,0,15000,0,0,8400,6000,12500,0,2900,0,10800,0,0,0
Utah,Silver Eagle Refining,Woods Cross,15000,0,15700,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,3000,0,0,0,0
Utah,Tesoro Refining & Marketing Co,Salt Lake City,68000,0,72500,0,0,0,0,0,0,28500,0,0,0,0,0,11500,0,12000,13000,0,22500,0,0,0,0
Washington,BP Products North America Inc,Ferndale,238500,0,251000,0,139000,61500,0,0,0,0,0,0,65000,0,65400,0,0,100500,0,20000,59400,0,0,0,0
Washington,HF Sinclair Puget Sound Refg LLC,Anacortes,145000,0,149000,0,65800,25300,0,0,0,57900,0,0,0,0,0,21700,0,21700,43900,25000,39900,0,0,0,0
Washington,Phillips 66 Company,Ferndale,105000,0,108055,0,46703,0,0,0,0,39179,0,0,0,0,18505,0,0,19444,37033,0,40367,0,0,0,0
Washington,Tesoro Refining & Marketing Co,Anacortes,119000,0,122000,0,48000,0,0,0,0,51500,3000,0,0,0,29500,0,24000,52500,28000,0,28500,0,0,0,0
Washington,US Oil & Refining Co,Tacoma,40700,0,42000,0,19200,0,0,0,0,0,0,0,0,0,0,6800,0,11000,0,0,8600,0,0,0,0
West Virginia,Ergon West Virginia Inc,Newell,22300,0,23000,0,8600,0,0,0,0,0,0,0,0,0,4700,0,0,7700,0,0,9500,0,0,6900,0
Wisconsin,Superior Refining Company LLC,Superior,45932,0,50000,0,29100,0,0,0,0,11323,0,0,0,0,9300,0,0,12500,12500,8000,7500,0,0,0,0
Wyoming,HF Sinclair Casper Refining Company,Evansville,31000,0,32200,0,0,0,0,0,0,10500,500,0,0,0,5000,0,0,8200,6500,0,11200,0,0,0,0
Wyoming,HF Sinclair Wyoming Refining Co,Sinclair,75000,0,92000,0,51000,20000,0,0,0,22000,0,16000,0,0,0,13000,0,21500,0,14000,18500,0,0,20000,0
Wyoming,Silver Eagle Refining,Evanston,3000,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,2900,0,3900,0,0,0,0,0,0,0
Wyoming,Wyoming Refining Co,Newcastle,18000,0,20000,0,0,0,0,0,0,7500,0,0,0,0,0,4500,0,4500,0,0,6100,0,0,0,0
Wyoming,Wyoming Refining Co,US Total,18331493,92000,19398042,96000,8537389,2779215,158500,16000,19373,5491059,47900,750000,1529370,84500,2625847,951719,374500,4600580,2982192,1671278,4454089,242561,75000,2833200,581734
